Dates,Open,Close,High,Low
18/04/19 10:30,30.87,30.76,30.88,30.74
18/04/19 10:31,30.78,30.8,30.82,30.78
18/04/19 10:32,30.82,30.87,30.87,30.81
18/04/19 10:33,30.86,30.89,30.9,30.85
18/04/19 10:34,30.89,30.92,30.93,30.87
18/04/19 10:35,30.92,30.98,30.98,30.9
18/04/19 10:36,30.96,30.93,30.97,30.9
18/04/19 10:37,30.92,30.98,30.98,30.9
18/04/19 10:38,30.99,31.04,31.04,30.99
18/04/19 10:39,31.05,31.04,31.05,31.02
18/04/19 10:40,31.05,31.12,31.13,31.05
18/04/19 10:41,31.14,31.15,31.19,31.08
18/04/19 10:42,31.14,31.17,31.17,31.1
18/04/19 10:43,31.17,31.14,31.17,31.11
18/04/19 10:44,31.13,31.11,31.16,31.08
18/04/19 10:45,31.11,31.06,31.11,31.03
18/04/19 10:46,31.04,31.06,31.07,31.02
18/04/19 10:47,31.05,31.05,31.05,31.03
18/04/19 10:48,31.04,30.98,31.04,30.96
18/04/19 10:49,30.99,30.95,30.99,30.94
18/04/19 10:50,30.95,30.98,30.99,30.95
18/04/19 10:51,30.98,30.94,30.98,30.94
18/04/19 10:52,30.94,30.9,30.94,30.9
18/04/19 10:53,30.89,30.85,30.9,30.84
18/04/19 10:54,30.84,30.8,30.84,30.8
18/04/19 10:55,30.8,30.78,30.83,30.78
18/04/19 10:56,30.8,30.79,30.81,30.78
18/04/19 10:57,30.8,30.85,30.85,30.8
18/04/19 10:58,30.85,30.84,30.87,30.81
18/04/19 10:59,30.86,30.85,30.87,30.83
18/04/19 11:00,30.85,30.83,30.86,30.82
18/04/19 11:01,30.83,30.78,30.83,30.78
18/04/19 11:02,30.77,30.78,30.8,30.76
18/04/19 11:03,30.77,30.76,30.77,30.74
18/04/19 11:04,30.76,30.77,30.78,30.75
18/04/19 11:05,30.77,30.76,30.77,30.74
18/04/19 11:06,30.75,30.79,30.79,30.75
18/04/19 11:07,30.79,30.81,30.82,30.79
18/04/19 11:08,30.81,30.82,30.84,30.79
18/04/19 11:09,30.82,30.8,30.82,30.8
18/04/19 11:10,30.78,30.75,30.78,30.75
18/04/19 11:11,30.77,30.79,30.79,30.76
18/04/19 11:12,30.78,30.78,30.81,30.76
18/04/19 11:13,30.78,30.75,30.78,30.75
18/04/19 11:14,30.76,30.75,30.78,30.74
18/04/19 11:15,30.73,30.69,30.73,30.69
18/04/19 11:16,30.68,30.69,30.71,30.66
18/04/19 11:17,30.68,30.69,30.71,30.67
18/04/19 11:18,30.69,30.69,30.7,30.68
18/04/19 11:19,30.68,30.63,30.68,30.63
18/04/19 11:20,30.64,30.62,30.64,30.61
18/04/19 11:21,30.62,30.64,30.68,30.62
18/04/19 11:22,30.68,30.63,30.68,30.63
18/04/19 11:23,30.64,30.63,30.64,30.6
18/04/19 11:24,30.63,30.57,30.63,30.57
18/04/19 11:25,30.58,30.6,30.6,30.58
18/04/19 11:26,30.61,30.61,30.62,30.61
18/04/19 11:27,30.61,30.59,30.61,30.59
18/04/19 11:28,30.59,30.61,30.61,30.59
18/04/19 11:29,30.6,30.6,30.6,30.6
18/04/19 11:30,30.61,30.66,30.67,30.61
18/04/19 11:31,30.67,30.69,30.69,30.67
18/04/19 11:32,30.69,30.66,30.7,30.66
18/04/19 11:33,30.67,30.64,30.69,30.63
18/04/19 11:34,30.64,30.62,30.65,30.62
18/04/19 11:35,30.64,30.69,30.69,30.64
18/04/19 11:36,30.68,30.63,30.68,30.63
18/04/19 11:37,30.62,30.62,30.63,30.6
18/04/19 11:38,30.62,30.66,30.66,30.62
18/04/19 11:39,30.66,30.65,30.66,30.65
18/04/19 11:40,30.65,30.58,30.65,30.56
18/04/19 11:41,30.6,30.59,30.6,30.58
18/04/19 11:42,30.58,30.61,30.62,30.58
18/04/19 11:43,30.59,30.58,30.61,30.58
18/04/19 11:44,30.58,30.59,30.6,30.56
18/04/19 11:45,30.59,30.6,30.62,30.58
18/04/19 11:46,30.62,30.62,30.65,30.61
18/04/19 11:47,30.64,30.56,30.64,30.56
18/04/19 11:48,30.58,30.63,30.63,30.58
18/04/19 11:49,30.62,30.58,30.63,30.58
18/04/19 11:50,30.61,30.61,30.62,30.58
18/04/19 11:51,30.61,30.54,30.61,30.54
18/04/19 11:52,30.55,30.58,30.58,30.55
18/04/19 11:53,30.57,30.62,30.62,30.57
18/04/19 11:54,30.6,30.55,30.6,30.55
18/04/19 11:55,30.57,30.62,30.62,30.57
18/04/19 11:56,30.62,30.62,30.64,30.6
